_date,total_clones,unique_clones
2025-09-25,1,1
2025-09-30,1,1
2025-10-01,1,1
2025-10-07,5,5
2025-10-08,15,12
2025-10-09,8,6
2025-10-12,1,1
2025-10-13,4,4
2025-10-14,2,2
2025-10-19,1,1
2025-10-26,4,3
2025-10-29,1,1
2025-10-30,2,2
2025-11-02,1,1
2025-11-03,1,1
2025-11-04,2,1
2025-11-05,1,1
2025-11-06,10,4
2025-11-07,2,1
2025-11-08,7,4
2025-11-09,5,2
2025-11-10,2,2
2025-11-12,1,1
2025-11-13,6,3
2025-11-16,1,1
2025-11-17,4,4
2025-11-23,1,1
2025-11-24,2,2
2025-11-26,1,1
2025-11-30,1,1
2025-12-01,5,4
2025-12-02,2,1
2025-12-03,10,5
2025-12-04,1,1
2025-12-07,1,1
2025-12-08,2,2
2025-12-13,2,2
2025-12-14,1,1
2025-12-15,1,1
2025-12-17,2,2
2025-12-18,1,1
2025-12-21,2,2
2025-12-22,5,3
2025-12-23,2,2
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,1,1
2025-12-29,7,4
2025-12-30,1,1
2025-12-31,2,1
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,2,2
2026-01-05,3,2
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,1,1
2026-01-09,2,2
2026-01-10,3,2
2026-01-11,1,1
2026-01-12,7,4
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-16,0,0
2026-01-17,3,3
2026-01-18,1,1
2026-01-19,4,3
2026-01-20,0,0
2026-01-21,0,0
2026-01-22,0,0
2026-01-23,0,0
2026-01-24,0,0
2026-01-25,3,3
2026-01-26,8,6
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,0,0
2026-01-31,0,0
2026-02-01,0,0
2026-02-02,2,2
2026-02-03,1,1
2026-02-04,0,0
2026-02-05,1,1
2026-02-06,0,0
2026-02-07,0,0
